date,price_RICE,price_CORN,price_CASSAVA,price_SUGARCRANE
2009-01-01,1940.0,7.05,1.13,714.0
2009-01-02,1940.0,7.05,1.13,714.0
2009-01-03,1940.0,7.05,1.13,714.0
2009-01-04,1940.0,7.05,1.13,714.0
2009-01-05,1940.0,7.05,1.13,714.0
2009-01-06,1940.0,7.05,1.13,714.0
2009-01-07,1940.0,7.05,1.13,714.0
2009-01-08,1940.0,7.05,1.13,714.0
2009-01-09,1940.0,7.15,1.13,714.0
2009-01-10,1940.0,7.55,1.13,714.0
2009-01-11,1940.0,7.55,1.13,714.0
2009-01-12,1940.0,7.55,1.13,714.0
2009-01-13,1940.0,7.55,1.13,714.0
2009-01-14,1940.0,7.45,1.13,714.0
2009-01-15,1940.0,7.4,1.13,714.0
2009-01-16,2040.0,7.4,1.13,714.0
2009-01-17,2040.0,7.35,1.13,714.0
2009-01-18,2040.0,7.35,1.13,714.0
2009-01-19,2040.0,7.35,1.13,714.0
2009-01-20,2040.0,7.3,1.13,714.0
2009-01-21,2040.0,7.25,1.13,714.0
2009-01-22,2040.0,7.25,1.13,714.0
2009-01-23,2040.0,7.25,1.13,714.0
2009-01-24,2040.0,7.25,1.13,714.0
2009-01-25,2040.0,7.25,1.13,714.0
2009-01-26,2040.0,7.25,1.13,714.0
2009-01-27,2040.0,7.25,1.13,714.0
2009-01-28,2040.0,7.25,1.13,714.0
2009-01-29,2040.0,7.25,1.13,714.0
2009-01-30,2040.0,7.25,1.13,714.0
2009-01-31,2040.0,7.25,1.13,714.0
2009-02-01,2040.0,7.25,1.13,715.0
2009-02-02,2040.0,7.25,1.13,715.0
2009-02-03,2040.0,7.25,1.13,715.0
2009-02-04,2040.0,7.25,1.13,715.0
2009-02-05,2040.0,7.25,1.13,715.0
2009-02-06,2040.0,7.2,1.13,715.0
2009-02-07,2040.0,7.2,1.13,715.0
2009-02-08,2040.0,7.2,1.13,715.0
2009-02-09,2040.0,7.2,1.13,715.0
2009-02-10,2040.0,7.2,1.13,715.0
2009-02-11,2040.0,7.2,1.13,715.0
2009-02-12,2040.0,7.2,1.13,715.0
2009-02-13,2040.0,7.15,1.13,715.0
2009-02-14,1990.0,7.2,1.11,715.0
2009-02-15,1990.0,7.2,1.11,715.0
2009-02-16,1990.0,7.2,1.11,715.0
